unique_student_id,schlyear,exgrade,exam_name
69,2014,61,Math exam
69,2015,74,Math exam
3003,2014,50,English exam
3003,2015,70,English exam
3003,2015,58,English exam
3713,2015,35,English exam
3713,2016,71,English exam
1282,2014,86,English exam
1282,2015,45,Math exam
1282,2016,61,Math exam
502,2015,89,English exam
1332,2015,79,English exam
1332,2015,45,Math exam
2969,2013,81,English exam
2969,2014,59,Math exam
2969,2015,80,English exam
2969,2015,46,Math exam
2969,2015,55,Math exam
3200,2014,80,English exam
3200,2015,87,English exam
2441,2014,78,English exam
1013,2015,85,English exam
3952,2015,67,English exam
1819,2015,94,English exam
1819,2015,99,Math exam
2174,2014,85,English exam
2174,2014,80,English exam
2174,2016,22,Math exam
2346,2014,76,English exam
2346,2015,25,Math exam
3524,2015,80,English exam
2489,2016,86,English exam
3699,2015,79,English exam
3699,2015,51,English exam
3801,2015,88,English exam
3801,2015,92,Math exam
2160,2016,80,English exam
3053,2015,81,English exam
2252,2014,67,English exam
2252,2015,83,English exam
427,2014,78,English exam
1186,2014,78,English exam
1186,2014,86,English exam
843,2014,51,Math exam
843,2014,52,Math exam
843,2015,83,English exam
843,2015,42,Math exam
843,2015,44,Math exam
843,2016,53,Math exam
2649,2014,77,English exam
1853,2013,34,Math exam
1853,2015,81,English exam
2651,2014,82,Math exam
2651,2015,98,English exam
3502,2014,62,English exam
3502,2014,78,English exam
3502,2014,53,English exam
3913,2014,89,English exam
1586,2014,98,Math exam
1586,2015,99,English exam
265,2015,67,Math exam
265,2016,91,English exam
3503,2015,76,English exam
3503,2015,72,English exam
3503,2015,51,Math exam
3470,2014,85,English exam
3470,2015,51,Math exam
3587,2015,62,English exam
3587,2015,25,Math exam
3587,2016,88,English exam
1246,2015,76,English exam
1246,2015,96,Math exam
2811,2015,87,English exam
2811,2015,67,Math exam
648,2015,87,English exam
648,2015,54,Math exam
3534,2015,86,English exam
1742,2014,88,English exam
1742,2015,83,English exam
2318,2014,75,English exam
2318,2014,51,English exam
2318,2015,58,English exam
2318,2015,25,Math exam
397,2015,82,English exam
397,2015,36,Math exam
2123,2014,81,Math exam
2123,2015,97,English exam
489,2015,79,English exam
477,2014,88,English exam
477,2014,75,English exam
3639,2014,83,English exam
3639,2014,71,English exam
1510,2014,67,Math exam
1510,2015,93,English exam
3388,2015,78,English exam
23,2015,57,English exam
23,2016,83,English exam
3488,2015,70,English exam
1020,2015,84,English exam
3039,2015,82,English exam
3039,2015,49,Math exam
3012,2014,97,English exam
3012,2014,72,Math exam
3012,2015,90,English exam
562,2015,70,Math exam
562,2016,81,English exam
156,2016,86,English exam
369,2014,92,English exam
369,2015,76,Math exam
3666,2016,76,English exam
3874,2015,79,English exam
3874,2015,56,Math exam
721,2014,71,English exam
814,2014,89,Math exam
814,2015,88,English exam
3775,2015,68,English exam
98,2014,85,English exam
1644,2015,79,English exam
1644,2015,52,Math exam
513,2014,81,English exam
2949,2015,86,English exam
2949,2016,42,Math exam
1452,2014,85,English exam
1452,2015,56,Math exam
862,2015,95,English exam
119,2013,66,English exam
1827,2015,83,English exam
3710,2015,83,English exam
3710,2015,85,English exam
3710,2015,58,Math exam
3789,2014,87,English exam
3789,2014,89,English exam
3789,2015,16,Math exam
3789,2015,58,Math exam
3168,2015,89,English exam
3168,2015,62,English exam
2347,2015,76,English exam
484,2016,83,English exam
3292,2013,50,English exam
3292,2013,53,English exam
3292,2014,53,English exam
3292,2014,44,English exam
3292,2015,60,English exam
3937,2014,65,English exam
3937,2015,79,English exam
3937,2015,46,English exam
3019,2014,76,English exam
3019,2014,57,English exam
2687,2013,74,Math exam
2687,2014,93,English exam
1007,2015,70,English exam
1007,2015,65,English exam
1007,2015,51,English exam
377,2015,44,Math exam
377,2015,26,Math exam
377,2016,90,English exam
2563,2015,91,English exam
2444,2014,78,English exam
448,2013,66,English exam
448,2015,88,English exam
986,2014,78,English exam
986,2014,70,English exam
986,2015,81,English exam
1046,2016,80,English exam
2476,2012,61,English exam
2476,2013,75,English exam
3057,2015,90,English exam
3580,2016,88,English exam
2473,2015,83,English exam
2473,2015,79,Math exam
3643,2014,82,English exam
3643,2014,59,Math exam
1059,2014,66,English exam
1059,2015,67,English exam
704,2015,65,English exam
704,2015,48,English exam
1132,2015,83,English exam
1494,2014,42,English exam
1494,2014,57,English exam
1494,2014,62,English exam
1494,2015,65,English exam
1010,2015,89,English exam
2296,2014,88,English exam
2296,2014,89,English exam
1991,2015,83,English exam
1788,2015,25,English exam
1788,2015,58,English exam
1788,2015,28,English exam
1788,2016,47,English exam
1788,2016,67,English exam
1788,2016,48,English exam
1727,2014,79,English exam
523,2015,67,English exam
523,2016,79,English exam
523,2016,55,English exam
2810,2014,85,English exam
2810,2015,30,Math exam
2810,2016,40,Math exam
1331,2016,82,English exam
590,2016,83,English exam
2744,2015,76,English exam
2744,2015,42,Math exam
2693,2014,87,English exam
97,2015,91,English exam
97,2015,90,Math exam
1334,2015,85,English exam
1334,2015,77,Math exam
1532,2015,76,English exam
1532,2015,62,English exam
2380,2015,76,English exam
2380,2015,57,Math exam
3101,2015,88,English exam
3101,2015,80,Math exam
2505,2014,78,English exam
1188,2015,95,English exam
1188,2015,64,Math exam
1188,2016,82,Math exam
3776,2015,78,English exam
1632,2015,87,English exam
93,2014,81,English exam
2738,2015,94,English exam
2738,2015,53,Math exam
2172,2014,89,English exam
2172,2014,78,English exam
3222,2015,79,English exam
3222,2015,55,English exam
2909,2015,65,English exam
236,2014,72,English exam
236,2015,72,English exam
236,2015,51,English exam
236,2016,81,English exam
765,2015,76,English exam
765,2015,62,English exam
3008,2015,85,English exam
3008,2015,68,English exam
2759,2014,92,English exam
2117,2015,74,English exam
2117,2015,68,English exam
2117,2016,83,English exam
3260,2015,79,English exam
2002,2015,74,English exam
2002,2015,56,English exam
423,2016,88,English exam
423,2016,81,English exam
1922,2015,80,English exam
1922,2015,70,Math exam
1426,2014,96,Math exam
1426,2015,96,English exam
2338,2014,81,English exam
51,2015,78,English exam
51,2015,54,Math exam
2179,2014,55,English exam
2179,2014,78,English exam
2179,2015,25,Math exam
2548,2015,88,English exam
3508,2015,81,English exam
3508,2015,66,English exam
3508,2015,74,Math exam
2055,2015,94,English exam
2055,2015,59,Math exam
2055,2015,66,Math exam
3914,2014,88,English exam
3914,2014,91,English exam
3914,2015,28,Math exam
3624,2014,92,English exam
3624,2014,61,Math exam
3624,2015,86,Math exam
2366,2015,80,English exam
1462,2015,84,Math exam
1462,2016,91,English exam
41,2015,80,Math exam
41,2016,92,English exam
3517,2014,87,English exam
3517,2014,67,Math exam
3517,2015,90,English exam
1286,2015,86,English exam
1286,2015,42,Math exam
1120,2015,83,English exam
637,2014,96,English exam
637,2014,86,English exam
2642,2014,89,English exam
2642,2015,75,Math exam
1232,2014,90,Math exam
1232,2015,90,English exam
1423,2014,87,English exam
1423,2014,67,Math exam
1734,2015,85,English exam
1734,2015,59,Math exam
828,2014,82,Math exam
828,2015,86,English exam
2994,2015,87,English exam
2994,2015,70,Math exam
970,2015,70,English exam
970,2015,72,English exam
970,2016,76,English exam
450,2014,95,English exam
450,2014,30,Math exam
2667,2016,80,English exam
1846,2015,88,English exam
1105,2014,82,Math exam
1105,2015,85,English exam
2458,2014,86,English exam
2646,2015,88,English exam
1708,2014,76,English exam
1708,2015,33,Math exam
1708,2015,28,Math exam
1285,2015,79,English exam
2560,2015,65,English exam
2560,2015,62,English exam
3549,2014,72,English exam
3549,2014,91,English exam
3549,2015,77,Math exam
2452,2014,53,English exam
2452,2015,81,English exam
2890,2016,95,English exam
1925,2015,86,English exam
1925,2015,49,Math exam
1925,2016,49,Math exam
1594,2014,58,Math exam
1594,2015,95,English exam
1594,2015,81,Math exam
1594,2015,60,Math exam
3407,2015,76,English exam
948,2014,83,English exam
948,2014,63,Math exam
948,2015,69,Math exam
948,2015,49,Math exam
3191,2014,37,Math exam
3191,2015,85,English exam
3191,2015,48,Math exam
3191,2015,35,Math exam
3191,2016,42,Math exam
1297,2015,82,English exam
1119,2015,96,English exam
1119,2015,41,Math exam
1119,2015,57,Math exam
2878,2014,88,English exam
3173,2014,77,Math exam
3173,2015,86,English exam
1994,2015,82,English exam
2531,2015,99,English exam
3436,2015,66,English exam
3688,2015,81,English exam
292,2015,87,English exam
738,2015,90,English exam
3973,2015,55,English exam
3973,2016,69,English exam
1394,2015,72,English exam
1324,2013,77,English exam
1324,2013,77,English exam
1324,2015,80,Math exam
1324,2016,92,English exam
1985,2015,66,English exam
1076,2015,98,English exam
1076,2015,46,Math exam
3617,2016,92,English exam
602,2014,92,Math exam
602,2015,97,English exam
2126,2014,91,English exam
2588,2014,44,Math exam
2588,2014,50,Math exam
2588,2015,49,Math exam
2588,2016,91,English exam
2466,2015,66,English exam
2466,2015,71,Math exam
2466,2016,86,English exam
2389,2015,85,English exam
2324,2015,87,English exam
442,2014,86,English exam
442,2014,100,English exam
442,2014,81,Math exam
280,2016,85,English exam
1522,2015,88,English exam
1522,2015,51,Math exam
1522,2015,37,Math exam
3167,2015,62,English exam
3167,2016,65,English exam
630,2014,60,English exam
630,2015,25,English exam
630,2015,77,English exam
630,2015,48,English exam
680,2016,85,English exam
3581,2014,88,English exam
3581,2015,48,Math exam
3581,2015,32,Math exam
3772,2015,76,English exam
2159,2014,94,English exam
2159,2015,92,Math exam
248,2014,85,English exam
248,2014,69,English exam
248,2015,57,Math exam
2047,2013,75,English exam
2047,2013,54,English exam
2825,2014,91,English exam
2825,2015,54,Math exam
2825,2016,47,Math exam
71,2014,80,Math exam
71,2015,95,English exam
2584,2014,67,English exam
2584,2015,55,English exam
2584,2016,65,English exam
3862,2014,91,English exam
3862,2014,74,Math exam
2732,2014,95,English exam
2732,2014,48,Math exam
2801,2015,85,English exam
2099,2015,89,English exam
2099,2015,68,Math exam
2713,2016,91,English exam
525,2015,76,English exam
525,2015,38,Math exam
2375,2014,78,Math exam
2375,2015,96,English exam
2263,2015,76,English exam
2751,2013,88,English exam
2751,2013,87,English exam
2751,2015,71,Math exam
1865,2015,80,English exam
2467,2015,82,English exam
2467,2015,48,Math exam
2288,2014,87,Math exam
2288,2015,93,English exam
3871,2016,74,English exam
3871,2016,52,English exam
3871,2016,58,English exam
1113,2013,73,English exam
1113,2013,62,English exam
1113,2014,77,English exam
1113,2014,60,English exam
1342,2015,72,English exam
1342,2016,69,English exam
2013,2015,89,English exam
2013,2015,41,Math exam
2013,2016,39,Math exam
1475,2015,91,English exam
1855,2014,95,English exam
1855,2015,83,Math exam
1622,2015,93,English exam
1622,2015,49,Math exam
1448,2015,81,English exam
1448,2015,65,English exam
107,2013,86,English exam
107,2013,75,English exam
107,2013,77,Math exam
2902,2014,88,Math exam
2902,2015,92,English exam
1230,2013,89,English exam
1230,2015,91,English exam
1230,2015,51,Math exam
1230,2015,36,Math exam
1230,2015,38,Math exam
1725,2015,92,English exam
10,2015,65,English exam
541,2014,84,Math exam
541,2015,96,English exam
1680,2016,87,English exam
1680,2016,52,English exam
1323,2013,82,English exam
1323,2013,81,English exam
1323,2014,96,Math exam
737,2014,91,English exam
737,2014,35,Math exam
737,2015,46,Math exam
737,2015,46,Math exam
1012,2014,97,English exam
1012,2015,74,Math exam
1722,2015,96,English exam
2169,2014,91,Math exam
2169,2015,95,English exam
3737,2014,89,English exam
3737,2015,91,English exam
3737,2015,85,Math exam
33,2016,90,English exam
1837,2013,85,English exam
1837,2013,83,English exam
1837,2014,84,Math exam
1836,2015,78,English exam
3543,2015,86,English exam
1674,2015,82,English exam
3641,2014,87,English exam
3641,2014,69,English exam
3641,2015,42,Math exam
3641,2016,57,Math exam
2528,2014,81,English exam
677,2014,35,Math exam
677,2015,81,English exam
440,2015,80,English exam
440,2015,41,Math exam
1877,2014,85,English exam
1877,2014,39,Math exam
66,2015,91,English exam
66,2015,68,English exam
237,2015,74,English exam
237,2015,70,English exam
237,2015,94,Math exam
237,2016,83,English exam
2196,2014,96,English exam
2196,2014,99,Math exam
3201,2015,82,English exam
3201,2015,48,Math exam
3186,2015,81,English exam
2589,2014,94,Math exam
2589,2015,97,English exam
3229,2013,55,English exam
3229,2014,78,English exam
1293,2015,83,English exam
1293,2015,55,Math exam
3403,2014,85,English exam
3403,2014,56,Math exam
3403,2015,92,English exam
3403,2015,68,Math exam
2694,2012,58,English exam
2694,2014,88,English exam
2694,2014,85,English exam
2694,2014,61,Math exam
1820,2014,60,Math exam
1820,2015,93,English exam
1820,2015,68,Math exam
1820,2015,63,Math exam
2426,2014,93,English exam
2426,2015,88,English exam
3894,2014,72,Math exam
3894,2015,96,English exam
3894,2015,88,Math exam
2269,2015,74,English exam
2269,2015,46,English exam
2886,2015,82,English exam
2886,2015,85,English exam
336,2014,89,English exam
336,2015,50,Math exam
231,2014,66,Math exam
231,2015,87,English exam
3262,2014,92,English exam
3262,2014,95,Math exam
193,2014,58,English exam
193,2014,75,English exam
193,2015,79,English exam
193,2015,83,English exam
256,2015,74,English exam
256,2015,49,Math exam
256,2015,41,Math exam
256,2016,53,Math exam
1957,2015,81,English exam
1957,2015,70,English exam
3500,2015,90,English exam
3500,2015,70,Math exam
1231,2014,72,Math exam
1231,2015,94,English exam
1575,2014,83,English exam
1575,2014,73,English exam
1575,2015,34,Math exam
1575,2016,23,Math exam
503,2016,55,English exam
3243,2015,88,English exam
3243,2015,60,Math exam
1126,2015,80,Math exam
1126,2016,92,English exam
169,2014,97,English exam
169,2015,68,Math exam
327,2016,92,English exam
1087,2016,92,English exam
2037,2016,86,English exam
1353,2014,79,English exam
1621,2016,86,English exam
866,2016,86,English exam
866,2016,87,English exam
2562,2016,85,English exam
640,2015,83,English exam
640,2015,28,Math exam
893,2016,69,English exam
893,2016,74,English exam
893,2017,57,English exam
3593,2015,95,English exam
3593,2015,62,Math exam
851,2014,97,Math exam
851,2015,95,English exam
3151,2014,84,Math exam
3151,2015,97,English exam
3004,2014,94,Math exam
3004,2015,94,English exam
2855,2015,93,English exam
2855,2015,63,Math exam
3074,2015,96,English exam
162,2014,69,English exam
162,2015,82,English exam
2282,2014,62,English exam
2282,2014,89,English exam
3510,2015,72,English exam
1804,2013,87,English exam
1804,2013,93,English exam
1804,2015,59,Math exam
1900,2015,97,English exam
1900,2015,27,Math exam
2445,2014,97,English exam
